id;id_commercant;nom;prenom;email;numero_tel;nom_etablissement;adresse
1;8346;Fresh;turn-key green Metal;Philomne95@hotmail.fr;Administrateur Stagiaire;Macédoine protocol intuitive;indexing Automotive Practical
2;58177;Cross-group a;microchip orchid Stagiaire;Zphirin.Leroux@gmail.com;Concrete Wooden;back-end;Ukraine
3;27043;Pound Provence Mouse;Saint-Jacques solution-oriented reboot;Olivier_Barbier@yahoo.fr;redundant b;Towels;bandwidth reciprocal value-added
4;88137;bypassing program Practical;Small Barbade microchip;Hermine42@yahoo.fr;transparent neural withdrawal;USB pixel capacitor;Mille methodologies embrace
5;72654;Checking Concrete;Networked definition Advanced;Sylvie60@hotmail.fr;Dollar c;input Shoes Coordinateur;transmit
6;33224;Samoa;Aquitaine analyzing;Alcibiade_Masson@gmail.com;intuitive c silver;utilize;Computers Centralized Account
7;52767;revolutionary Cambridgeshire;firewall white Cross-platform;meric_Girard20@yahoo.fr;maroon;Home applications;Music Gorgeous Rhône-Alpes
8;47793;optimal a;deposit bypass;Anne.Brunet@yahoo.fr;Malaysian channels;Soap Irlande Buckinghamshire;c Up-sized Intelligent
9;63902;Fresh;program PCI;Abeline9@hotmail.fr;Lek Hryvnia Coordinateur;JBOD;back-end mission-critical Proactive
10;98972;PNG Up-sized;Baby Digitized;Lorraine_Roger73@gmail.com;strategic Cambridgeshire cross-platform;Inverse Ergonomic;magenta niches payment
