id;id_cooperative;nom;email;numero_tel;adresse
1;41418;a;Candide.Michel18@gmail.com;Nepalese;proactive Practical
2;46715;a digital;Timothe44@yahoo.fr;port payment b;Montorgueil Borders multi-byte
3;77924;multi-state;Ombline.Gonzalez@gmail.com;Concrete;Frozen Tasty monetize
4;2808;digital c Soft;Jol_Aubert51@yahoo.fr;Enhanced Plastic Small;Granite
5;67319;Real Irlande;Aymard19@gmail.com;seize infomediaries;c
6;88465;Basse-Normandie connecting c;Aliette_Lambert24@yahoo.fr;incentivize USB;Thaïlande Corse
7;27120;Outdoors;Clestine_Renault99@yahoo.fr;Sleek Saint-Séverin;bluetooth
8;59090;Tanzanian Architecte SMS;Mireille_Aubert@yahoo.fr;Concrete deposit Developpeur;Balboa
9;39171;Sports Sainte-Lucie;Dominique73@yahoo.fr;a Loan multi-byte;navigating Nouvelle-Zélande asymmetric
10;15286;Handcrafted la PCI;Japhet15@hotmail.fr;Fantastic connecting;Re-contextualized Provence
